Country,Country Code,Year,"Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Official exchange rate, LCU per USD, period average,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Unemployment rate,Percent,,,"
Finland,FIN,2020,0.87738382839,5.21693965862,236387.0,269821.258824317,5.21693965862,145.50935236099,116.78414990317,7.73651231894
Finland,FIN,2021,0.84518008154,5.02570424509,248764.0,294320.419347881,5.02570424509,185.78873930685,154.20821150642,7.6240514154
Finland,FIN,2022,0.95094414865,5.65442751741,266135.0,280191.897635211,5.65442751741,166.69488364571,123.53592137672,6.78644753007
Finland,FIN,2023,0.92466452082,5.49817238025,272848.0,295096.908126314,5.49817238025,155.1178956109,117.70869673214,7.23267365853
Finland,FIN,2024,0.92438891162,5.49657836282,275960.0,298566.23837216,5.49657836282,150.55082356626,114.32330390882,8.40374566882
Finland,FIN,2025,0.8924481679372728,5.306587091097272,93124.66666666667,101725.09907886467,5.306587091097272,158.50324642731726,125.01049475880727,9.403330309908888
France,FRA,2015,0.9007476221,5.90879079281,2202766.0,2445644.55924646,5.90879079281,133.22961391428,103.57282381259,10.025
France,FRA,2016,0.90433493697,5.93239343292,2230638.0,2467243.54837603,5.93239343292,122.99798602216,95.29868843956,9.725
France,FRA,2017,0.88690836099,5.81801332782,2294290.0,2592648.05305507,5.81801332782,145.12931901025,115.03327328066,9.1
France,FRA,2019,0.8930961998,5.85857001302,2435248.0,2726908.34147968,5.85857001302,151.37519143968,118.70969131939,8.175
France,FRA,2020,0.87738382839,5.75547331114,2317293.0,2647577.27704831,5.75547331114,140.67415267694,112.57902338298,7.85
France,FRA,2021,0.84518008154,5.54453124373,2504873.0,2963738.91879964,5.54453124373,176.74886481778,146.44881584156,7.65
France,FRA,2022,0.95094414865,6.23816417082,2652811.0,2792752.9983974,6.23816417082,174.72350866857,129.29358588771,7.05
France,FRA,2023,0.92466452082,6.06581640022,2830199.0,3060983.26306757,6.06581640022,193.51065410058,146.67010341334,7.1
France,FRA,2024,0.92438891162,6.06404764571,2921207.0,3160551.885875,6.06404764571,203.14391385365,154.02781581268,7.15
France,FRA,2025,0.8924481679372728,5.854392548467273,988734.6666666666,1080160.8357479332,5.854392548467273,207.33366867183003,163.0823112582727,7.3
Germany,DEU,2015,0.9007476221,1.76183409198,3084360.0,3424297.88125187,1.76183409198,187.08849068821,145.42766094063,4.35525202952
Germany,DEU,2016,0.90433493697,1.76882009016,3189990.0,3528290.20278881,1.76882009016,173.82526680431,134.64031581685,3.89407967789
Germany,DEU,2017,0.88690836099,1.73473703422,3337270.0,3772035.33903161,1.73473703422,212.19775939768,168.18102257932,3.52217491054
